Type_L,Type_M,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Rotational power
0,1,-0.3546423956445589,-1.014674413971504,-0.23903878657512057,-0.059096519305160605,-0.44016225633532224,-0.7924672485995893,-0.10056682679687726
1,0,-1.6512099574548829,-1.48632220133322,0.5935999535523795,-0.5393120139128602,2.045097193549195,1.1020158092963233,-0.2950949046771395
0,1,-1.0029261765497208,-1.2841874353210452,-1.110534001241904,1.161451196156077,1.400188095794352,0.10491946303533459,0.8912254127473599
1,0,-0.7535862608169684,0.06337767142673618,1.498400717824263,-1.1095679137595043,-1.383931667683873,1.6005639824268176,-0.7515636186703324
1,0,0.09416945267438409,0.4002689481136815,-0.5998489072970373,0.23103367535365796,0.07891091990638074,0.40404836691364254,0.05469018693827855
1,0,-1.3520020585755685,-1.418943945995854,-0.677561856375604,0.1810112279986892,1.2271637037137844,0.6034676361657723,-0.07240579000508947
1,0,0.6925852504329842,0.26551243743887276,1.098734122563063,-0.8094332296296918,-0.188490413309042,-0.9918865178517757,-0.4457007548061584
1,0,-0.4543783619376542,0.33289069277627714,0.49368330473707955,-0.4092536507899418,1.0384098214440742,1.4011447131745747,-0.14914998950637468
0,1,-1.5016060080152256,-1.418943945995854,-0.2556915613776706,-0.5293075244418664,-0.8019405306856001,0.9025965400440803,-0.7977821141683045
1,0,1.2910010481916128,1.4109427781745174,1.348525744601313,-1.3196621926503727,1.4159175859834945,-0.49333834472128135,-1.1934730180140574
1,0,-0.3546423956445589,-0.9472961586340998,-0.10581658815472055,-0.6293524191518038,-0.5030802170918923,-0.6927576139734678,-0.8547588683435008
1,0,-0.2549064293514636,-0.4082701159350179,-0.827436829598554,1.8817744380676265,1.368729115416067,-0.09449980621690851,2.126285234515175
1,0,-1.0029261765497208,-0.5430266266097884,-0.06696011361543722,-0.759410782274723,-0.14130194274161448,1.2017254439223881,-1.0256793595169775
1,0,-1.3520020585755685,-1.216809179983679,1.1930998464441795,-1.0595454664045354,0.2362058217978059,0.9025965400440803,-0.8211845024807036
1,0,0.09416945267438409,-0.3408918605976135,-1.0161682773607874,1.1114287488011083,0.39350072368923106,-0.6927576139734678,0.9106899461579223
1,0,1.4904729807778032,0.8045384801379929,0.5658453288814629,-0.7394018033327352,-0.7075635895507449,-1.7895635948605781,-0.6326951202067294
1,0,1.3408690313381462,1.4783210335118835,-0.511034108350104,0.7512671278453332,0.912573899930934,-0.49333834472128135,0.856058316490022
1,0,-0.7037182776704066,-0.07137883924807259,0.2994009320406628,-0.25918630872503556,-0.9592354325770253,1.3014350785484532,-0.038440570057742166
1,0,1.2910010481916128,1.0066732461501677,-0.5387887330210206,1.981819332777564,0.9597623704983616,-1.0915961524778972,2.5659569942248535
0,1,0.5928492841398889,0.7371602248006268,0.1939333582911795,-0.5693254823258419,-1.6356035107101534,-0.09449980621685183,-0.5846591532156025
1,0,-0.5042463450842161,0.06337767142673618,0.2438916826988295,-0.4192581402609357,0.5350661353915137,1.1020158092963233,-0.32247423329982977
1,0,1.989152812243308,2.084725331548408,1.0043683986819463,-1.1295768927014918,-0.031195511417616863,-0.8921768832256541,-1.036506017658997
1,0,-0.8034542439635303,-0.2735136052602091,-0.33340451045623726,-0.21916835084106073,0.5665251157697987,1.201725443922445,-0.3972446196741398
1,0,-1.2522660922824733,-0.8125396479593293,-0.3445063603246039,-0.09911447718913546,0.29912378255437594,1.3014350785485098,-0.23144431700826168
1,0,-1.1525301259893779,-1.8905917333575697,0.7157203021044128,-0.21916835084106073,-1.619874020521011,-0.49333834472128135,0.30084031803541
1,0,0.293641385260603,-0.2735136052602091,-0.710867405980704,0.16100224905670216,0.5036071550132286,-0.9918865178517757,-0.12448709677130405
1,0,-0.953058193403159,-0.8799179032967337,0.5713962538156462,-0.9695050611655915,-1.651333000899296,0.6034676361657723,-0.9985345433450178
1,0,-0.3546423956445589,-0.6104048819471545,-0.2556915613776706,-0.19915937189907296,0.6766315470937962,-0.19420944084297337,-0.3163573668766303
1,0,-1.2522660922824733,-0.7451613926219632,-0.827436829598554,0.4611369331865146,0.5036071550132286,1.4011447131745747,0.19761575430590012
0,0,0.2437734021140412,0.4002689481136815,-0.710867405980704,0.7212536594323522,1.463106056550922,0.10491946303533459,0.6476060618476848
